depCode,name,category
UAR,ARABIC,Arts
UBA,BUSINESS ADMINISTRATION,Arts
UBO,BOTANY,
UBT,BIOTECHNOLOGY,
UCO,COMMERCE,Arts
UCH,CHEMISTRY,
UCA,COMPUTER APPLICAIONS,
UCS,COMPUTER SCIENCE,
UEC,ECONOMICS,Arts
UEN,ENGLISH,Arts
UFT,FASHION TECHNOLOGY AND COSTUME DESIGNING,
UHS,HISTORY,Arts
UHM,HOTEL MANAGEMENT AND CATERING SCIENCE,
UIT,INFORMATION TECHNOLOGY,
UMA,MATHEMATICS,
UMB,MICROBIOLOGY,
UND,NUTRITION AND DIETICS,
UPH,PHYSICS,
UTA,TAMIL,Arts
UVC,VISUAL COMMUNICATION,
UZO,ZOOLOGY,
PAR,ARABIC,Arts
PBO,BOTANY,
PBT,BIOTECHNOLOGY,
PCO,COMMERCE,Arts
PCH,CHEMISTRY,Arts
PCS,COMPUTER SCIENCE,
PEC,ECONOMICS,Arts
PEN,ENGLISH,Arts
PFT,FASHION TECHNOLOGY,
PHS,HISTORY,Arts
PIT,INFORMATION TECHNOLOGY,
PMA,MATHEMATICS,
PMB,MICROBIOLOGY,
PND,NUTRITION AND DIETICS,
PPH,PHYSICS,
PTA,TAMIL,Arts
PZO,ZOOLOGY,
MBA,BUSINESS ADMINISTRATION,Arts
MCA,COMPUTER APPLICAIONS,
